R,Result
0.999,43.3164
R,Result
0.9991,37.3419
R,Result
0.9992,38.3915
R,Result
0.9993,39.3706
R,Result
0.9994,40.3157
R,Result
0.9995,39.435
R,Result
0.9996,37.5091
R,Result
0.9997,40.7249
R,Result
0.9998,33.7853
R,Result
0.9999,42.0175
R,Result
0.99991,38.9072
R,Result
0.99992,38.1463
R,Result
0.99993,41.8624
R,Result
0.99994,37.4866
R,Result
0.99995,39.9772
R,Result
0.99996,36.5376
R,Result
0.99997,38.9804
R,Result
0.99998,41.1741
R,Result
0.99999,38.8964
R,Result
0.999991,36.983
R,Result
0.999992,40.9993
R,Result
0.999993,35.1978
R,Result
0.999994,36.6005
R,Result
0.999995,35.341
R,Result
0.999996,35.7134
R,Result
0.999997,41.9251
R,Result
0.999998,38.8344
R,Result
0.999999,39.5386
