R,Result
0.999,34.5598
R,Result
0.9991,35.2679
R,Result
0.9992,36.4605
R,Result
0.9993,29.7819
R,Result
0.9994,35.6295
R,Result
0.9995,37.2332
R,Result
0.9996,38.6633
R,Result
0.9997,37.4094
R,Result
0.9998,36.8494
R,Result
0.9999,38.8784
R,Result
0.99991,36.0629
R,Result
0.99992,34.4242
R,Result
0.99993,37.9019
R,Result
0.99994,31.926
R,Result
0.99995,42.4877
R,Result
0.99996,41.1809
R,Result
0.99997,35.783
R,Result
0.99998,31.4968
R,Result
0.99999,42.2081
R,Result
0.999991,38.0931
R,Result
0.999992,35.4992
R,Result
0.999993,37.8563
R,Result
0.999994,34.4022
R,Result
0.999995,37.6211
R,Result
0.999996,35.8864
R,Result
0.999997,39.694
R,Result
0.999998,35.4329
R,Result
0.999999,33.183
