Ti,Result
20,33.5823
21,38.4234
22,34.1127
23,36.7033
24,32.6571
25,37.2773
26,31.707
27,37.2674
28,36.64
29,35.4252
30,32.6067
31,36.74
32,37.2961
33,37.5097
34,40.1278
35,43.0179
36,34.4036
37,39.3618
38,33.6905
39,36.8962
40,36.9994
