R,Result
0.999,38.3104
R,Result
0.9991,40.0521
R,Result
0.9992,37.9496
R,Result
0.9993,38.3178
R,Result
0.9994,44.0982
R,Result
0.9995,35.394
R,Result
0.9996,35.5528
R,Result
0.9997,34.9375
R,Result
0.9998,39.3257
R,Result
0.9999,32.8573
R,Result
0.99991,36.8526
R,Result
0.99992,32.0452
R,Result
0.99993,40.0172
R,Result
0.99994,38.3988
R,Result
0.99995,32.4785
R,Result
0.99996,38.6594
R,Result
0.99997,38.6082
R,Result
0.99998,40.4364
R,Result
0.99999,35.1536
R,Result
0.999991,38.2083
R,Result
0.999992,36.1865
R,Result
0.999993,32.7592
R,Result
0.999994,37.075
R,Result
0.999995,33.8886
R,Result
0.999996,36.862
R,Result
0.999997,39.088
R,Result
0.999998,36.7993
R,Result
0.999999,36.6267
