R,Result
0.999,29.3179
R,Result
0.9991,37.4361
R,Result
0.9992,34.9997
R,Result
0.9993,38.299
R,Result
0.9994,42.1035
R,Result
0.9995,33.9529
R,Result
0.9996,34.8356
R,Result
0.9997,35.8401
R,Result
0.9998,40.3535
R,Result
0.9999,39.7074
R,Result
0.99991,32.7989
R,Result
0.99992,41.3995
R,Result
0.99993,35.306
R,Result
0.99994,34.9288
R,Result
0.99995,38.5817
R,Result
0.99996,37.6184
R,Result
0.99997,37.9625
R,Result
0.99998,38.7283
R,Result
0.99999,35.3645
R,Result
0.999991,43.5148
R,Result
0.999992,33.4648
R,Result
0.999993,37.411
R,Result
0.999994,35.1863
R,Result
0.999995,40.1809
R,Result
0.999996,32.1821
R,Result
0.999997,38.7682
R,Result
0.999998,38.6087
R,Result
0.999999,38.6247
