R,Result
0.999,36.5889
R,Result
0.9991,36.7689
R,Result
0.9992,41.0751
R,Result
0.9993,34.8398
R,Result
0.9994,41.448
R,Result
0.9995,33.623
R,Result
0.9996,40.5714
R,Result
0.9997,37.6979
R,Result
0.9998,32.8212
R,Result
0.9999,32.0957
R,Result
0.99991,37.7763
R,Result
0.99992,32.9122
R,Result
0.99993,36.1183
R,Result
0.99994,35.1961
R,Result
0.99995,34.7353
R,Result
0.99996,34.6771
R,Result
0.99997,37.5148
R,Result
0.99998,34.9604
R,Result
0.99999,35.0831
R,Result
0.999991,37.0134
R,Result
0.999992,35.0695
R,Result
0.999993,37.746
R,Result
0.999994,38.0127
R,Result
0.999995,40.2232
R,Result
0.999996,36.0327
R,Result
0.999997,37.0836
R,Result
0.999998,36.7973
R,Result
0.999999,36.0792
