Ti,Result
0.999,33.585
0.9991,36.718
0.9992,39.04
0.9993,34.3327
0.9994,34.5303
0.9995,35.833
0.9996,41.699
0.9997,40.637
0.9998,37.6843
0.9999,31.1583
0.99991,34.5893
0.99992,38.9308
0.99993,37.1435
0.99994,37.84
0.99995,40.4488
0.99996,36.8877
0.99997,39.1711
0.99998,40.0016
0.99999,35.1846
0.999991,35.6512
0.999992,39.7237
0.999993,35.1747
0.999994,33.0266
0.999995,38.5531
0.999996,33.9828
0.999997,35.263
0.999998,41.8147
0.999999,37.0987
