R,Result
0.999,37.2578
R,Result
0.9991,36.8356
R,Result
0.9992,32.4467
R,Result
0.9993,36.8405
R,Result
0.9994,40.4468
R,Result
0.9995,38.5782
R,Result
0.9996,39.4543
R,Result
0.9997,36.176
R,Result
0.9998,39.4653
R,Result
0.9999,35.9133
R,Result
0.99991,37.1628
R,Result
0.99992,37.0024
R,Result
0.99993,38.2238
R,Result
0.99994,34.5296
R,Result
0.99995,36.7452
R,Result
0.99996,39.6512
R,Result
0.99997,33.3598
R,Result
0.99998,35.0361
R,Result
0.99999,35.0839
R,Result
0.999991,37.1943
R,Result
0.999992,34.4753
R,Result
0.999993,35.642
R,Result
0.999994,36.5218
R,Result
0.999995,38.2737
R,Result
0.999996,40.1779
R,Result
0.999997,41.124
R,Result
0.999998,32.6523
R,Result
0.999999,41.4158
