R,Result
0.999,38.3088
R,Result
0.9991,42.1076
R,Result
0.9992,38.1898
R,Result
0.9993,36.6081
R,Result
0.9994,37.6995
R,Result
0.9995,40.5288
R,Result
0.9996,33.1445
R,Result
0.9997,37.4569
R,Result
0.9998,35.4354
R,Result
0.9999,41.3598
R,Result
0.99991,34.089
R,Result
0.99992,40.6609
R,Result
0.99993,42.6355
R,Result
0.99994,40.6124
R,Result
0.99995,38.0027
R,Result
0.99996,36.6718
R,Result
0.99997,39.4223
R,Result
0.99998,35.8194
R,Result
0.99999,38.2506
R,Result
0.999991,36.2526
R,Result
0.999992,36.6019
R,Result
0.999993,35.349
R,Result
0.999994,35.3903
R,Result
0.999995,30.121
R,Result
0.999996,39.687
R,Result
0.999997,35.2889
R,Result
0.999998,35.6993
R,Result
0.999999,36.2585
