R,Result
0.999,42.6422
R,Result
0.9991,37.5056
R,Result
0.9992,38.4724
R,Result
0.9993,35.5606
R,Result
0.9994,41.06
R,Result
0.9995,34.1393
R,Result
0.9996,36.8416
R,Result
0.9997,37.2631
R,Result
0.9998,38.8159
R,Result
0.9999,32.4549
R,Result
0.99991,35.7876
R,Result
0.99992,32.7505
R,Result
0.99993,35.2501
R,Result
0.99994,37.4121
R,Result
0.99995,42.619
R,Result
0.99996,34.776
R,Result
0.99997,31.1068
R,Result
0.99998,36.2923
R,Result
0.99999,33.2888
R,Result
0.999991,35.3226
R,Result
0.999992,34.9216
R,Result
0.999993,37.0139
R,Result
0.999994,37.6081
R,Result
0.999995,35.8657
R,Result
0.999996,34.5698
R,Result
0.999997,41.9982
R,Result
0.999998,37.1797
R,Result
0.999999,40.4695
