R,Result
0.999,34.5667
R,Result
0.9991,36.6442
R,Result
0.9992,37.4485
R,Result
0.9993,37.566
R,Result
0.9994,39.2784
R,Result
0.9995,34.3522
R,Result
0.9996,40.386
R,Result
0.9997,32.7448
R,Result
0.9998,41.1513
R,Result
0.9999,37.0683
R,Result
0.99991,36.0369
R,Result
0.99992,41.1577
R,Result
0.99993,37.3104
R,Result
0.99994,38.0397
R,Result
0.99995,32.7763
R,Result
0.99996,30.6355
R,Result
0.99997,35.6658
R,Result
0.99998,40.982
R,Result
0.99999,35.549
R,Result
0.999991,38.6528
R,Result
0.999992,39.3184
R,Result
0.999993,40.5476
R,Result
0.999994,32.7555
R,Result
0.999995,36.3515
R,Result
0.999996,34.3769
R,Result
0.999997,38.5404
R,Result
0.999998,38.9038
R,Result
0.999999,37.1208
