R,Result
0.999,39.2331
R,Result
0.9991,35.4083
R,Result
0.9992,33.7461
R,Result
0.9993,32.9496
R,Result
0.9994,34.8797
R,Result
0.9995,33.8176
R,Result
0.9996,34.3954
R,Result
0.9997,38.9347
R,Result
0.9998,37.2153
R,Result
0.9999,40.5283
R,Result
0.99991,36.303
R,Result
0.99992,36.0293
R,Result
0.99993,33.673
R,Result
0.99994,35.9819
R,Result
0.99995,38.5612
R,Result
0.99996,36.8737
R,Result
0.99997,39.272
R,Result
0.99998,35.2509
R,Result
0.99999,36.3259
R,Result
0.999991,35.9802
R,Result
0.999992,37.1636
R,Result
0.999993,42.4719
R,Result
0.999994,38.4535
R,Result
0.999995,40.6984
R,Result
0.999996,33.5731
R,Result
0.999997,38.714
R,Result
0.999998,43.3455
R,Result
0.999999,40.2599
