R,Result
0.999,34.2126
R,Result
0.9991,35.3956
R,Result
0.9992,38.0263
R,Result
0.9993,34.6078
R,Result
0.9994,35.1392
R,Result
0.9995,35.5236
R,Result
0.9996,40.527
R,Result
0.9997,36.9185
R,Result
0.9998,39.034
R,Result
0.9999,37.3919
R,Result
0.99991,36.0175
R,Result
0.99992,39.2605
R,Result
0.99993,34.8308
R,Result
0.99994,33.8113
R,Result
0.99995,35.6926
R,Result
0.99996,43.489
R,Result
0.99997,34.1619
R,Result
0.99998,42.6182
R,Result
0.99999,40.3871
R,Result
0.999991,35.3252
R,Result
0.999992,34.5005
R,Result
0.999993,37.3241
R,Result
0.999994,32.9861
R,Result
0.999995,41.8443
R,Result
0.999996,40.6065
R,Result
0.999997,39.2848
R,Result
0.999998,35.5036
R,Result
0.999999,41.8514
